Date,Open,High,Low,Close_,AdjClose__,Volume
"Jan. 27, 2023","22,955.00","23,090.00","22,545.00","23,053.00","23,053.00","11,146"
"Jan. 26, 2023","23,100.00","23,285.00","22,835.00","23,075.00","23,075.00","11,146"
"Jan. 25, 2023","22,770.00","23,770.00","22,345.00","22,940.00","22,940.00","10,974"
"Jan. 24, 2023","22,990.00","23,210.00","22,775.00","23,065.00","23,065.00","7,975"
"Jan. 23, 2023","22,605.00","23,240.00","22,585.00","23,090.00","23,090.00","10,731"
"Jan. 20, 2023","21,155.00","22,525.00","20,935.00","22,390.00","22,390.00","9,472"
"Jan. 19, 2023","20,905.00","21,275.00","20,730.00","21,200.00","21,200.00","5,319"
"Jan. 18, 2023","21,325.00","21,795.00","20,460.00","20,800.00","20,800.00","13,106"
"Jan. 17, 2023","20,985.00","21,725.00","20,690.00","21,485.00","21,485.00","12,709"
"Jan. 16, 2023","20,985.00","21,600.00","20,690.00","21,205.00","21,205.00","7,033"
"Jan. 13, 2023","18,945.00","19,995.00","18,785.00","19,550.00","19,550.00","7,033"
"Jan. 12, 2023","17,625.00","19,200.00","17,615.00","19,155.00","19,155.00","14,036"
"Jan. 11, 2023","17,490.00","17,635.00","17,330.00","17,615.00","17,615.00","4,674"
"Jan. 10, 2023","17,180.00","17,555.00","17,135.00","17,535.00","17,535.00","5,068"
"Jan. 09, 2023","16,980.00","17,440.00","16,955.00","17,225.00","17,225.00","7,471"
"Jan. 06, 2023","16,825.00","17,085.00","16,645.00","16,895.00","16,895.00","6,144"
"Jan. 05, 2023","16,810.00","16,890.00","16,715.00","16,840.00","16,840.00","3,408"
"Jan. 04, 2023","16,625.00","17,015.00","16,610.00","16,780.00","16,780.00","7,387"
"Jan. 03, 2023","16,675.00","16,765.00","16,525.00","16,615.00","16,615.00","4,086"
"Dec. 30, 2022","16,615.00","16,625.00","16,285.00","16,498.00","16,498.00","6,062"
"Dec. 29, 2022","16,510.00","16,640.00","16,435.00","16,585.00","16,585.00","6,599"
"Dec. 28, 2022","16,640.00","16,760.00","16,420.00","16,570.00","16,570.00","9,933"
"Dec. 27, 2022","16,825.00","16,950.00","16,515.00","16,595.00","16,595.00","7,685"
"Dec. 23, 2022","16,760.00","16,910.00","16,695.00","16,780.00","16,780.00","5,712"
"Dec. 22, 2022","16,725.00","16,850.00","16,460.00","16,735.00","16,735.00","5,529"
"Dec. 21, 2022","16,870.00","16,885.00","16,670.00","16,735.00","16,735.00","2,295"
"Dec. 20, 2022","16,325.00","17,095.00","16,275.00","16,840.00","16,840.00","5,601"
"Dec. 19, 2022","16,690.00","16,770.00","16,395.00","16,495.00","16,495.00","4,393"
"Dec. 16, 2022","17,340.00","17,525.00","16,675.00","16,775.00","16,775.00","7,266"
"Dec. 15, 2022","17,840.00","17,875.00","17,290.00","17,395.00","17,395.00","5,851"
"Dec. 14, 2022","17,775.00","18,420.00","17,680.00","17,795.00","17,795.00","7,805"
"Dec. 13, 2022","17,170.00","18,125.00","17,050.00","17,745.00","17,745.00","9,178"
"Dec. 12, 2022","17,080.00","17,220.00","16,820.00","17,115.00","17,115.00","4,191"
"Dec. 09, 2022","17,240.00","17,355.00","17,005.00","17,035.00","17,035.00","4,444"
"Dec. 08, 2022","16,760.00","17,320.00","16,665.00","17,185.00","17,185.00","7,120"
"Dec. 07, 2022","16,935.00","17,090.00","16,580.00","16,725.00","16,725.00","3,966"
"Dec. 06, 2022","16,865.00","17,025.00","16,800.00","16,945.00","16,945.00","3,720"
"Dec. 05, 2022","17,020.00","17,435.00","16,750.00","16,825.00","16,825.00","6,335"
"Dec. 02, 2022","16,870.00","17,055.00","16,055.00","16,995.00","16,995.00","3,869"
"Dec. 01, 2022","17,190.00","17,235.00","16,760.00","16,820.00","16,820.00","6,039"
"Nov. 30, 2022","16,235.00","17,140.00","16,160.00","17,080.00","17,080.00","8,018"
"Nov. 29, 2022","15,920.00","16,410.00","15,880.00","16,265.00","16,265.00","4,649"
"Nov. 28, 2022","16,335.00","16,375.00","15,630.00","15,990.00","15,990.00","6,804"
"Nov. 25, 2022","16,470.00","16,805.00","16,340.00","16,512.00","16,512.00","3,599"
"Nov. 23, 2022","16,115.00","16,705.00","16,080.00","16,610.00","16,610.00","9,969"
"Nov. 22, 2022","15,645.00","16,295.00","15,515.00","16,055.00","16,055.00","12,763"
"Nov. 21, 2022","16,155.00","16,265.00","15,355.00","15,690.00","15,690.00","12,988"
"Nov. 18, 2022","16,545.00","16,880.00","16,365.00","16,530.00","16,530.00","6,052"
"Nov. 17, 2022","16,370.00","16,610.00","16,115.00","16,520.00","16,520.00","5,977"
"Nov. 16, 2022","16,715.00","16,855.00","16,015.00","16,285.00","16,285.00","7,008"
"Nov. 15, 2022","16,085.00","16,990.00","16,085.00","16,690.00","16,690.00","7,408"
"Nov. 14, 2022","15,870.00","16,740.00","15,250.00","16,005.00","16,005.00","7,191"
"Nov. 11, 2022","17,460.00","17,480.00","15,715.00","16,050.00","16,050.00","12,252"
"Nov. 10, 2022","15,440.00","17,935.00","15,230.00","17,780.00","17,780.00","18,015"
"Nov. 09, 2022","18,480.00","18,565.00","14,925.00","15,615.00","15,615.00","29,101"
"Nov. 08, 2022","20,500.00","20,700.00","16,835.00","18,080.00","18,080.00","44,896"
"Nov. 07, 2022","21,200.00","21,215.00","20,635.00","20,845.00","20,845.00","6,250"
"Nov. 03, 2022","20,280.00","21,400.00","20,185.00","21,155.00","21,155.00","16,426"
"Nov. 02, 2022","20,165.00","20,415.00","20,030.00","20,285.00","20,285.00","7,002"
"Nov. 01, 2022","20,500.00","20,870.00","20,105.00","20,265.00","20,265.00","9,266"
"Oct. 31, 2022","20,430.00","20,725.00","20,320.00","20,480.00","20,480.00","4,663"
"Oct. 30, 2022","20,715.00","20,890.00","20,220.00","20,380.00","20,380.00","7,208"
"Oct. 27, 2022","20,385.00","20,560.00","19,965.00","20,478.00","20,478.00","8,559"
"Oct. 26, 2022","20,735.00","20,935.00","20,245.00","20,625.00","20,625.00","10,277"
"Oct. 25, 2022","20,215.00","21,055.00","20,015.00","20,780.00","20,780.00","16,618"
"Oct. 24, 2022","19,310.00","20,445.00","19,230.00","20,305.00","20,305.00","18,642"
"Oct. 23, 2022","19,470.00","19,695.00","19,130.00","19,340.00","19,340.00","11,740"
"Oct. 20, 2022","19,050.00","19,250.00","18,615.00","19,195.00","19,195.00","10,597"
"Oct. 19, 2022","19,150.00","19,340.00","18,875.00","19,030.00","19,030.00","9,380"
"Oct. 18, 2022","19,255.00","19,340.00","19,035.00","19,200.00","19,200.00","5,612"
"Oct. 17, 2022","19,525.00","19,715.00","19,045.00","19,180.00","19,180.00","8,664"
"Oct. 16, 2022","19,070.00","19,680.00","19,070.00","19,515.00","19,515.00","7,538"
"Oct. 13, 2022","19,415.00","19,975.00","19,065.00","19,110.00","19,110.00","14,027"
"Oct. 12, 2022","19,150.00","19,575.00","17,810.00","19,360.00","19,360.00","23,505"
"Oct. 11, 2022","18,935.00","19,145.00","18,900.00","19,095.00","19,095.00","5,182"
"Oct. 10, 2022","19,165.00","19,225.00","18,760.00","18,900.00","18,900.00","9,226"
"Oct. 09, 2022","19,390.00","19,465.00","19,015.00","19,125.00","19,125.00","7,446"
"Oct. 06, 2022","19,870.00","20,080.00","19,260.00","19,410.00","19,410.00","11,120"
"Oct. 05, 2022","20,085.00","20,515.00","19,870.00","20,025.00","20,025.00","9,200"
"Oct. 04, 2022","20,385.00","20,440.00","19,740.00","20,140.00","20,140.00","9,665"
"Oct. 03, 2022","19,535.00","20,535.00","19,515.00","20,285.00","20,285.00","11,729"
"Oct. 02, 2022","19,190.00","19,690.00","18,785.00","19,525.00","19,525.00","12,200"
"Sep. 29, 2022","19,510.00","19,725.00","19,185.00","19,699.00","19,699.00","12,261"
"Sep. 28, 2022","19,630.00","19,700.00","18,820.00","19,405.00","19,405.00","10,690"
"Sep. 27, 2022","18,975.00","19,685.00","18,440.00","19,565.00","19,565.00","14,508"
"Sep. 26, 2022","19,060.00","20,400.00","18,775.00","19,045.00","19,045.00","18,567"
"Sep. 25, 2022","18,700.00","19,300.00","18,545.00","19,180.00","19,180.00","11,533"
"Sep. 22, 2022","19,200.00","19,495.00","18,455.00","18,745.00","18,745.00","9,164"
"Sep. 21, 2022","18,510.00","19,475.00","18,085.00","19,295.00","19,295.00","9,042"
"Sep. 20, 2022","18,880.00","19,885.00","18,670.00","18,980.00","18,980.00","15,361"
"Sep. 19, 2022","19,525.00","19,640.00","18,690.00","18,950.00","18,950.00","8,868"
"Sep. 18, 2022","19,490.00","19,620.00","18,195.00","19,480.00","19,480.00","12,241"
"Sep. 15, 2022","19,750.00","19,865.00","19,275.00","19,575.00","19,575.00","6,561"
"Sep. 14, 2022","20,130.00","20,345.00","19,450.00","19,730.00","19,730.00","7,042"
"Sep. 13, 2022","20,110.00","20,500.00","19,585.00","19,925.00","19,925.00","7,625"
"Sep. 12, 2022","22,390.00","22,875.00","20,050.00","20,240.00","20,240.00","15,358"
"Sep. 11, 2022","21,500.00","22,530.00","21,500.00","22,455.00","22,455.00","8,764"
"Sep. 08, 2022","19,010.00","21,485.00","19,010.00","21,345.00","21,345.00","16,199"
